rule_id,priority,source_scope,municipality_code,match_field,match_type,match_value,designation_level_code,designation_level_ja,designation_status_code,designation_status_ja,heritage_type_major_code,heritage_type_major_ja,heritage_type_detail,confidence,basis,needs_source_lookup,note
R0001,10,prefectural_tokyo,13000,category,exact,都指定文化財,prefectural,都,designated,指定,unknown,未判定,都指定文化財,high,observed_tokyo,0,東京都指定文化財データセット
R0002,20,municipal,13102,category,exact,区指定文化財,municipal,区市町村,designated,指定,unknown,未判定,区指定文化財,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示
R0003,20,municipal,13102,category,exact,区民史跡,municipal,区市町村,local_other,独自制度,monument,記念物,史跡,medium,observed_municipal,0,市/区制度名を明示; 自治体独自名称を保持; 史跡を明示
R0004,20,municipal,13102,category,exact,区民有形文化財,municipal,区市町村,local_other,独自制度,tangible,有形文化財,未細分,medium,observed_municipal,0,市/区制度名を明示; 自治体独自名称を保持; 有形文化財を明示
R0005,20,municipal,13102,category,exact,区民有形文化財;指定文化財,municipal,区市町村,designated,指定,tangible,有形文化財,未細分,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示; 有形文化財を明示
R0006,20,municipal,13102,category,exact,区民有形民俗文化財,municipal,区市町村,local_other,独自制度,folk,民俗文化財,有形民俗文化財,medium,observed_municipal,0,市/区制度名を明示; 自治体独自名称を保持; 有形民俗を明示
R0007,20,municipal,13102,category,exact,区民無形民俗文化財,municipal,区市町村,local_other,独自制度,folk,民俗文化財,無形民俗文化財,medium,observed_municipal,0,市/区制度名を明示; 自治体独自名称を保持; 無形民俗を明示
R0008,20,municipal,13104,category,exact,地域文化財,municipal,区市町村,local_other,独自制度,unknown,未判定,地域文化財,medium,observed_municipal,0,市/区制度名を明示; 自治体独自名称を保持
R0009,20,municipal,13104,category,exact,指定史跡,municipal,区市町村,designated,指定,monument,記念物,史跡,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 指定/国制度名称を明示; 史跡を明示
R0010,20,municipal,13104,category,exact,指定天然記念物,municipal,区市町村,designated,指定,monument,記念物,天然記念物,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 指定/国制度名称を明示; 天然記念物を明示
R0011,20,municipal,13104,category,exact,指定有形文化財,municipal,区市町村,designated,指定,tangible,有形文化財,未細分,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 指定/国制度名称を明示; 有形文化財を明示
R0012,20,municipal,13104,category,exact,指定有形民俗文化財,municipal,区市町村,designated,指定,folk,民俗文化財,有形民俗文化財,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 指定/国制度名称を明示; 有形民俗を明示
R0013,20,municipal,13104,category,exact,指定無形文化財,municipal,区市町村,designated,指定,intangible,無形文化財,未細分,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 指定/国制度名称を明示; 無形文化財を明示
R0014,20,municipal,13104,category,exact,指定無形民俗文化財,municipal,区市町村,designated,指定,folk,民俗文化財,無形民俗文化財,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 指定/国制度名称を明示; 無形民俗を明示
R0015,20,municipal,13104,category,exact,登録史跡,municipal,区市町村,registered,登録,monument,記念物,史跡,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 明示; 史跡を明示
R0016,20,municipal,13104,category,exact,登録有形文化財,municipal,区市町村,registered,登録,tangible,有形文化財,未細分,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 明示; 有形文化財を明示
R0017,20,municipal,13104,category,exact,登録有形民俗文化財,municipal,区市町村,registered,登録,folk,民俗文化財,有形民俗文化財,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 明示; 有形民俗を明示
R0018,20,municipal,13104,category,exact,登録無形民俗文化財,municipal,区市町村,registered,登録,folk,民俗文化財,無形民俗文化財,high,observed_municipal,0,新宿区データの無接頭辞指定/登録/地域分類; 明示; 無形民俗を明示
R0019,20,municipal,13106,category,exact,区指定文化財,municipal,区市町村,designated,指定,unknown,未判定,区指定文化財,high,observed_municipal,0,市/区制度名を明示; 指定/国制度名称を明示
R0020,20,municipal,13106,category,exact,区民文化財,municipal,区市町村,local_other,独自制度,unknown,未判定,区民文化財,medium,observed_municipal,0,市/区制度名を明示; 自治体独自名称を保持
R0021,20,municipal,13107,category,exact,史跡,municipal,区市町村,unknown,不明,monument,記念物,史跡,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 史跡を明示
R0022,20,municipal,13107,category,exact,名勝,municipal,区市町村,unknown,不明,monument,記念物,名勝,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 名勝を明示
R0023,20,municipal,13107,category,exact,天然記念物,municipal,区市町村,unknown,不明,monument,記念物,天然記念物,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 天然記念物を明示
R0024,20,municipal,13107,category,exact,有形文化財（古文書）,municipal,区市町村,unknown,不明,tangible,有形文化財,古文書,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 古文書を明示
R0025,20,municipal,13107,category,exact,有形文化財（工芸品）,municipal,区市町村,unknown,不明,tangible,有形文化財,美術工芸品,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 工芸/美術工芸を明示
R0026,20,municipal,13107,category,exact,有形文化財（建造物）,municipal,区市町村,unknown,不明,tangible,有形文化財,建造物,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 建造物を明示
R0027,20,municipal,13107,category,exact,有形文化財（彫刻）,municipal,区市町村,unknown,不明,tangible,有形文化財,彫刻,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 彫刻を明示
R0028,20,municipal,13107,category,exact,有形文化財（書跡）,municipal,区市町村,unknown,不明,tangible,有形文化財,書跡,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 書跡を明示
R0029,20,municipal,13107,category,exact,有形文化財（歴史資料・書跡）,municipal,区市町村,unknown,不明,tangible,有形文化財,歴史資料,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 歴史資料を明示
R0030,20,municipal,13107,category,exact,有形文化財（歴史資料）,municipal,区市町村,unknown,不明,tangible,有形文化財,歴史資料,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 歴史資料を明示
R0031,20,municipal,13107,category,exact,有形文化財（絵画・典籍）,municipal,区市町村,unknown,不明,tangible,有形文化財,典籍,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 典籍を明示
R0032,20,municipal,13107,category,exact,有形文化財（絵画・歴史資料）,municipal,区市町村,unknown,不明,tangible,有形文化財,歴史資料,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 歴史資料を明示
R0033,20,municipal,13107,category,exact,有形文化財（絵画）,municipal,区市町村,unknown,不明,tangible,有形文化財,絵画,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 絵画を明示
R0034,20,municipal,13107,category,exact,有形文化財（考古資料）,municipal,区市町村,unknown,不明,tangible,有形文化財,考古資料,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 考古資料を明示
R0035,20,municipal,13107,category,exact,有形民俗文化財,municipal,区市町村,unknown,不明,folk,民俗文化財,有形民俗文化財,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 有形民俗を明示
R0036,20,municipal,13107,category,exact,無形文化財（工芸技術）,municipal,区市町村,unknown,不明,intangible,無形文化財,工芸技術,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 無形文化財を明示
R0037,20,municipal,13107,category,exact,無形民俗文化財(風俗慣習),municipal,区市町村,unknown,不明,folk,民俗文化財,無形民俗文化財（風俗慣習）,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 無形民俗を明示
R0038,20,municipal,13107,category,exact,無形民俗文化財（民俗芸能）,municipal,区市町村,unknown,不明,folk,民俗文化財,無形民俗文化財（民俗芸能）,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 無形民俗を明示
R0039,20,municipal,13108,category,exact,国指定重要文化財,national,国,designated,指定,unknown,未判定,国指定重要文化財,high,observed_municipal,0,国制度を明示; 指定/国制度名称を明示
R0040,20,municipal,13108,category,exact,国登録文化財,national,国,registered,登録,unknown,未判定,国登録文化財,high,observed_municipal,0,国制度を明示; 明示
R0041,20,municipal,13108,category,exact,東京都指定文化財,prefectural,都,designated,指定,unknown,未判定,東京都指定文化財,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示
R0042,20,municipal,13108,category,exact,江東区指定文化財,municipal,区市町村,designated,指定,unknown,未判定,江東区指定文化財,high,observed_municipal,0,自治体名を明示; 指定/国制度名称を明示
R0043,20,municipal,13108,category,exact,江東区登録文化財,municipal,区市町村,registered,登録,unknown,未判定,江東区登録文化財,high,observed_municipal,0,自治体名を明示; 明示
R0044,20,municipal,13114,category,exact,中野区指定有形文化財,municipal,区市町村,designated,指定,tangible,有形文化財,未細分,high,observed_municipal,0,自治体名を明示; 指定/国制度名称を明示; 有形文化財を明示
R0045,20,municipal,13114,category,exact,中野区指定有形民俗文化財,municipal,区市町村,designated,指定,folk,民俗文化財,有形民俗文化財,high,observed_municipal,0,自治体名を明示; 指定/国制度名称を明示; 有形民俗を明示
R0046,20,municipal,13114,category,exact,中野区指定記念物,municipal,区市町村,designated,指定,monument,記念物,未細分,high,observed_municipal,0,自治体名を明示; 指定/国制度名称を明示; 記念物を明示
R0047,20,municipal,13114,category,exact,中野区登録有形文化財,municipal,区市町村,registered,登録,tangible,有形文化財,未細分,high,observed_municipal,0,自治体名を明示; 明示; 有形文化財を明示
R0048,20,municipal,13114,category,exact,中野区登録無形民俗文化財,municipal,区市町村,registered,登録,folk,民俗文化財,無形民俗文化財,high,observed_municipal,0,自治体名を明示; 明示; 無形民俗を明示
R0049,20,municipal,13114,category,exact,国指定名勝,national,国,designated,指定,monument,記念物,名勝,high,observed_municipal,0,国制度を明示; 指定/国制度名称を明示; 名勝を明示
R0050,20,municipal,13114,category,exact,国登録有形文化財,national,国,registered,登録,tangible,有形文化財,未細分,high,observed_municipal,0,国制度を明示; 明示; 有形文化財を明示
R0051,20,municipal,13114,category,exact,東京都指定旧跡,prefectural,都,designated,指定,monument,記念物,旧跡,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 旧跡を明示
R0052,20,municipal,13114,category,exact,東京都指定無形民俗文化財,prefectural,都,designated,指定,folk,民俗文化財,無形民俗文化財,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 無形民俗を明示
R0053,20,municipal,13115,category,exact,史跡,municipal,区市町村,unknown,不明,monument,記念物,史跡,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 史跡を明示
R0054,20,municipal,13115,category,exact,天然記念物,municipal,区市町村,unknown,不明,monument,記念物,天然記念物,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 天然記念物を明示
R0055,20,municipal,13115,category,exact,有形文化財,municipal,区市町村,unknown,不明,tangible,有形文化財,未細分,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 有形文化財を明示
R0056,20,municipal,13115,category,exact,有形民俗文化財,municipal,区市町村,unknown,不明,folk,民俗文化財,有形民俗文化財,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 有形民俗を明示
R0057,20,municipal,13115,category,exact,無形民俗文化財,municipal,区市町村,unknown,不明,folk,民俗文化財,無形民俗文化財,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 無形民俗を明示
R0058,20,municipal,13116,category,exact,国指定無形文化財,national,国,designated,指定,intangible,無形文化財,未細分,high,observed_municipal,0,国制度を明示; 指定/国制度名称を明示; 無形文化財を明示
R0059,20,municipal,13116,category,exact,国指定重要文化財,national,国,designated,指定,unknown,未判定,国指定重要文化財,high,observed_municipal,0,国制度を明示; 指定/国制度名称を明示
R0060,20,municipal,13116,category,exact,国指定重要有形民俗文化財,national,国,designated,指定,folk,民俗文化財,有形民俗文化財,high,observed_municipal,0,国制度を明示; 指定/国制度名称を明示; 有形民俗を明示
R0061,20,municipal,13116,category,exact,国登録有形文化財,national,国,registered,登録,tangible,有形文化財,未細分,high,observed_municipal,0,国制度を明示; 明示; 有形文化財を明示
R0062,20,municipal,13116,category,exact,国選定保存技術,national,国,selected,選定,preservation_technique,文化財保存技術,保存技術,high,observed_municipal,0,国制度を明示; 明示; 保存技術を明示
R0063,20,municipal,13116,category,exact,東京都指定史跡,prefectural,都,designated,指定,monument,記念物,史跡,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 史跡を明示
R0064,20,municipal,13116,category,exact,東京都指定天然記念物,prefectural,都,designated,指定,monument,記念物,天然記念物,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 天然記念物を明示
R0065,20,municipal,13116,category,exact,東京都指定旧跡,prefectural,都,designated,指定,monument,記念物,旧跡,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 旧跡を明示
R0066,20,municipal,13116,category,exact,東京都指定有形民俗文化財,prefectural,都,designated,指定,folk,民俗文化財,有形民俗文化財,high,observed_municipal,0,東京都/都制度を明示; 指定/国制度名称を明示; 有形民俗を明示
R0067,20,municipal,13116,category,exact,豊島区指定史跡,municipal,区市町村,designated,指定,monument,記念物,史跡,high,observed_municipal,0,自治体名を明示; 指定/国制度名称を明示; 史跡を明示
R0068,20,municipal,13116,category,exact,豊島区指定有形文化財,municipal,区市町村,designated,指定,tangible,有形文化財,未細分,high,observed_municipal,0,自治体名を明示; 指定/国制度名称を明示; 有形文化財を明示
R0069,20,municipal,13116,category,exact,豊島区指定有形民俗文化財,municipal,区市町村,designated,指定,folk,民俗文化財,有形民俗文化財,high,observed_municipal,0,自治体名を明示; 指定/国制度名称を明示; 有形民俗を明示
R0070,20,municipal,13116,category,exact,豊島区指定無形民俗文化財,municipal,区市町村,designated,指定,folk,民俗文化財,無形民俗文化財,high,observed_municipal,0,自治体名を明示; 指定/国制度名称を明示; 無形民俗を明示
R0071,20,municipal,13116,category,exact,豊島区登録有形文化財,municipal,区市町村,registered,登録,tangible,有形文化財,未細分,high,observed_municipal,0,自治体名を明示; 明示; 有形文化財を明示
R0072,20,municipal,13116,category,exact,豊島区登録有形民俗文化財,municipal,区市町村,registered,登録,folk,民俗文化財,有形民俗文化財,high,observed_municipal,0,自治体名を明示; 明示; 有形民俗を明示
R0073,20,municipal,13118,category,exact,有形文化財（典籍）,municipal,区市町村,source_lookup,取得済み原データ参照,tangible,有形文化財,典籍,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 典籍を明示
R0074,20,municipal,13118,category,exact,有形文化財（古文書）,municipal,区市町村,source_lookup,取得済み原データ参照,tangible,有形文化財,古文書,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 古文書を明示
R0075,20,municipal,13118,category,exact,有形文化財（工芸品）,municipal,区市町村,source_lookup,取得済み原データ参照,tangible,有形文化財,美術工芸品,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 工芸/美術工芸を明示
R0076,20,municipal,13118,category,exact,有形文化財（建造物）,municipal,区市町村,source_lookup,取得済み原データ参照,tangible,有形文化財,建造物,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 建造物を明示
R0077,20,municipal,13118,category,exact,有形文化財（彫刻）,municipal,区市町村,source_lookup,取得済み原データ参照,tangible,有形文化財,彫刻,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 彫刻を明示
R0078,20,municipal,13118,category,exact,有形文化財（歴史資料）,municipal,区市町村,source_lookup,取得済み原データ参照,tangible,有形文化財,歴史資料,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 歴史資料を明示
R0079,20,municipal,13118,category,exact,有形文化財（絵画）,municipal,区市町村,source_lookup,取得済み原データ参照,tangible,有形文化財,絵画,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 絵画を明示
R0080,20,municipal,13118,category,exact,有形文化財（考古資料）,municipal,区市町村,source_lookup,取得済み原データ参照,tangible,有形文化財,考古資料,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 考古資料を明示
R0081,20,municipal,13118,category,exact,有形民俗文化財,municipal,区市町村,source_lookup,取得済み原データ参照,folk,民俗文化財,有形民俗文化財,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 有形民俗を明示
R0082,20,municipal,13118,category,exact,無形文化財（工芸技術）,municipal,区市町村,source_lookup,取得済み原データ参照,intangible,無形文化財,工芸技術,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 無形文化財を明示
R0083,20,municipal,13118,category,exact,無形民俗文化財（民俗芸能）,municipal,区市町村,source_lookup,取得済み原データ参照,folk,民俗文化財,無形民俗文化財（民俗芸能）,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 無形民俗を明示
R0084,20,municipal,13118,category,exact,無形民俗文化財（風俗慣習）,municipal,区市町村,source_lookup,取得済み原データ参照,folk,民俗文化財,無形民俗文化財（風俗慣習）,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 無形民俗を明示
R0085,20,municipal,13118,category,exact,記念物（史跡）,municipal,区市町村,source_lookup,取得済み原データ参照,monument,記念物,史跡,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 史跡を明示
R0086,20,municipal,13118,category,exact,記念物（天然記念物）,municipal,区市町村,source_lookup,取得済み原データ参照,monument,記念物,天然記念物,medium,observed_municipal,1,当該自治体データセットの無接頭辞分類; 指定年度/登録年度を行単位で判定; 天然記念物を明示
R0087,20,municipal,13120,category,exact,史跡,municipal,区市町村,unknown,不明,monument,記念物,史跡,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 史跡を明示
R0088,20,municipal,13120,category,exact,名勝,municipal,区市町村,unknown,不明,monument,記念物,名勝,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 名勝を明示
R0089,20,municipal,13120,category,exact,天然記念物,municipal,区市町村,unknown,不明,monument,記念物,天然記念物,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 天然記念物を明示
R0090,20,municipal,13120,category,exact,有形,municipal,区市町村,unknown,不明,tangible,有形文化財,未細分,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 有形文化財を明示
R0091,20,municipal,13120,category,exact,有形民俗,municipal,区市町村,unknown,不明,folk,民俗文化財,有形民俗文化財,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 有形民俗を明示
R0092,20,municipal,13120,category,exact,無形,municipal,区市町村,unknown,不明,intangible,無形文化財,未細分,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 無形文化財系
R0093,20,municipal,13120,category,exact,無形民俗,municipal,区市町村,unknown,不明,folk,民俗文化財,無形民俗文化財,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 無形民俗を明示
R0094,20,municipal,13122,category,exact,史跡,municipal,区市町村,unknown,不明,monument,記念物,史跡,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 史跡を明示
R0095,20,municipal,13122,category,exact,名勝,municipal,区市町村,unknown,不明,monument,記念物,名勝,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 名勝を明示
R0096,20,municipal,13122,category,exact,天然記念物,municipal,区市町村,unknown,不明,monument,記念物,天然記念物,low,observed_municipal,0,当該自治体データセットの無接頭辞分類; 分類名に指定/登録の区別なし; 天然記念物を明示
