source_id,source_name,source_role,source_tier,collector,url,scope,reference_count,retrieved_at,retrieval_status,record_count,snapshot_sha256,notes
bunka_museum_guide,文化庁 博物館総合サイト・全国の博物館,core,A,bunka_core,https://museum.bunka.go.jp/guide/,東京都の登録博物館・指定施設,83 registered + 50 designated,2026-09-04T16:20:12+00:00,retrieved_network,133,4781c2beb20fa5c20e9bb85cdcb0b65e8a620c0cd63f502f3e94f678a6d62e79,法律上の位置づけを持つ施設の中核名簿
cultural_heritage_online,文化遺産オンライン参加館,supplement,B,manifest_only,https://online.bunka.go.jp/,全国の参加博物館・美術館等。東京都所在館を抽出対象とする,1096 nationwide participants (2026-09-04 display),,manifest_only,0,,有力な追加ソース。参加館方式であり法的区分とは別。館一覧取得アダプターは次段で追加
japan_museum_association,日本博物館協会 会員館紹介,supplement,B,manifest_only,https://www.j-muse.or.jp/introduction/,東京地域の会員館。館種・住所・電話・公式サイト,about 1100 nationwide members,,manifest_only,0,,検索画面型。安定した一括取得方法を確認後に自動取得対象へ移す
jcsm,全国科学博物館協議会 加盟館リスト,supplement,B,jcsm,https://jcsm.jp/list/membership/,東京都の科学館・科学系博物館,21 Tokyo entries at initial inspection,2026-09-04T16:20:12+00:00,retrieved_network,21,81cd8442ef9885451960087dddcc3378c6756bb372a8e5aef79e9386e5a2a212,館名・住所を取得
zenbunkyo,全国文学館協議会 会員館一覧,supplement,B,manifest_only,https://zenbunkyo.com/members,東京都の文学館・文学資料施設,not fixed,,manifest_only,0,,施設名・住所を公開。サイト構造確認後に自動取得対象へ移す
university_museum_council,大学博物館等協議会,supplement,B,manifest_only,https://univ-museum.jp/,大学博物館・資料室,45 member organizations (2025-07),,manifest_only,0,,大学施設の候補発見に使用
jaza_zoo,日本動物園水族館協会 正会員名簿・動物園,supplement,B,jaza_table,https://www.jaza.jp/about-jaza/structure/list-zoo,住所が東京都の動物園,8 Tokyo entries at initial inspection,2026-09-04T16:20:12+00:00,retrieved_network,8,a86d0f4860ef1340c4bfe5d4449690455c7db720f38e7ba0dc5b9a051ebc5f3e,名簿日付も取得ページ本文で確認する
jaza_aquarium,日本動物園水族館協会 正会員名簿・水族館,supplement,B,jaza_table,https://www.jaza.jp/about-jaza/structure/list-aquarium,住所が東京都の水族館,5 Tokyo entries at initial inspection,2026-09-04T16:20:12+00:00,retrieved_network,5,b48f32768a05f3472b2bafa72e657b8fa1b1fd4855c6f4a7bae1ee04a8761d50,名簿日付も取得ページ本文で確認する
japan_aquarium_association,日本水族館協会 正会員,supplement,B,jaa,https://www.j-aqua.org/member/,所在地欄が東京の正会員,4 Tokyo entries at initial inspection,2026-09-04T16:20:12+00:00,retrieved_network,4,c120b0ced2ca8ba784ec0612fd069f8c7a2423bc0bc917d8ec9efa40167e5a99,公開表に住所がないため所在地詳細は別ソースで要確認
chiyoda_museum_network,千代田ミュージアムネットワーク,supplement,C,chiyoda,https://museum.net.city.chiyoda.lg.jp/list/,千代田区内の参加館,36 participants at initial inspection,2026-09-04T16:20:12+00:00,retrieved_network,36,e4854ffd11d50a6e92809afe8878f33e71f03ed4a6e8d39f7a67da1d82f4901c,大学資料室・宝物殿・図書館ギャラリー等を含む
bunkyo_muse_net,文の京ミュージアムネットワーク,supplement,C,bunkyo,https://www.city.bunkyo.lg.jp/b014/p004189.html,文京ミューズネット加入施設,38 facilities,2026-09-04T16:20:12+00:00,retrieved_network,38,566033a5e8aa880acf5892777faf971ba165a428966f32d3fdd58a265a08823a,区公式表から名称・電話・住所・公式URLを取得
minato_museum_network,港区ミュージアムネットワーク,supplement,C,minato,https://www.minato-rekishi.com/musenet/museumlist.html,港区内の加盟館,50 facilities at initial inspection,2026-09-04T16:20:12+00:00,retrieved_network,50,89f19c89cbd1d434d9594655c0c8a92e050696e0354436323df12e8428909aba,企業・私設の小規模展示施設を含む
zenbi_small_museum,全国美術館会議 小規模館ネットワーク,supplement,C,manifest_only,https://www.zenbi.jp/data_list.php?g=103,東京都所在の小規模美術館,7 Tokyo entries at initial inspection,,manifest_only,0,,施設名・住所を公開
small_museum_network_map,小さいとこネット・小さいとこまっぷ,discovery,D,manifest_only,https://chiisaitokonet.jimdofree.com/%E5%B0%8F%E3%81%95%E3%81%84%E3%81%A8%E3%81%93%E3%81%BE%E3%81%A3%E3%81%B7/,小規模館・支援団体等の候補発見,map updated from 2026,,manifest_only,0,,人的ネットワークを含むため施設名簿として直接採用しない
tokyo_open_data_tourism,東京都オープンデータ・観光施設の分布と一覧,supplement,C,manifest_only,https://portal.data.metro.tokyo.lg.jp/visualization/distribution-and-list-of-tourist-facilities/,15区市の観光施設データセット,15 municipalities,,manifest_only,0,,中央・墨田・江東・世田谷・豊島・荒川・練馬・葛飾、青梅・調布・小金井・東村山・狛江・清瀬・あきる野
goto_tokyo_links,GO TOKYO 区市町村・観光協会関連リンク,discovery,D,manifest_only,https://www.gotokyo.org/jp/links/index.html,都内自治体・観光協会サイトへの入口,not a facility count,,manifest_only,0,,62区市町村の観光系ソース探索に使用
tokyo_social_education_survey_r6,令和6年度社会教育調査・東京都博物館類似施設,reference,R,manifest_only,https://www.e-stat.go.jp/stat-search/files?page=1&toukei=00400004&tstat=000001017254,東京都の博物館類似施設の集計値,210,,manifest_only,0,,規模の参照値。収集件数の完全一致要件ではなく個別施設差分の根拠にも用いない
