candidate_id,museum_id,canonical_name,municipality_code,municipality_name,candidate_name,candidate_name_normalized,address_raw,address_normalized,postal_code,latitude,longitude,source_id,source_url,source_authority,extraction_method,match_method,priority,retrieved_at,content_sha256,candidate_status,notes
LOC-8081d03e052816,,,13106,台東区,東京藝術大学大学美術館,東京藝術大学大学美術館,東京都台東区上野公園12-8,東京都台東区上野公園12-8,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/182,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,dd02adccd63e30304fc8cc9f8a5640e33815fdda9dd461f90c715e67f1c3c49b,unmatched_source_record,; no exact canonical name + municipality match
LOC-88654741f5bebe,,,13106,台東区,東京文化財研究所,東京文化財研究所,東京都台東区上野公園13-43,東京都台東区上野公園13-43,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/184,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,2a5a24c59b0a8b50ff85dfa8969215e8f7d01ad76bfa43391f168d04098e9b8b,unmatched_source_record,; no exact canonical name + municipality match
LOC-97fb752c51c398,,,13103,港区,(社)全日本郷土芸能協会,(社)全日本郷土芸能協会,東京都港区赤坂6-7-14新赤坂マンション507,東京都港区赤坂6-7-14新赤坂マンション507,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/185,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,15174bf5b5f0c64e4dad7d229d031463902eae75555cd2559a8a032497cfb1fa,unmatched_source_record,; no exact canonical name + municipality match
LOC-9e5a0328b79d82,,,13106,台東区,台東区立一葉記念館,台東区立一葉記念館,東京都台東区竜泉3-18-4,東京都台東区竜泉3-18-4,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12224,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,31e467cfac20e814165ee65b562de87fd1b9e5c724368353b4226e747046c58c,unmatched_source_record,; no exact canonical name + municipality match
LOC-15fe1c5215f1ba,,,13113,渋谷区,国立能楽堂 資料展示室,国立能楽堂資料展示室,東京都渋谷区千駄ヶ谷4-18-1,東京都渋谷区千駄ヶ谷4-18-1,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/13792,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,1c67594199d641829b58156b814d6e3c5186199a0aad1bef5fc7e63cede4c808,unmatched_source_record,; no exact canonical name + municipality match
LOC-e74494a884985e,,,13112,世田谷区,世田谷区立次大夫堀公園民家園／世田谷区立岡本公園民家園,世田谷区立次大夫堀公園民家園/世田谷区立岡本公園民家園,東京都世田谷区喜多見5-27-14（次大夫堀公園民家園）／世田谷区岡本2-19-1（岡本公園民家園）,東京都世田谷区喜多見5-27-14（次大夫堀公園民家園）／世田谷区岡本2-19-1（岡本公園民家園）,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12201,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,88d60d15c0ef2ca597325f69a546604bc142563d4ac31b337bfd4e57530487c4,unmatched_source_record,; no exact canonical name + municipality match
LOC-76d319c929f3e5,,,13106,台東区,台東区立下町風俗資料館,台東区立下町風俗資料館,東京都台東区上野公園2-1,東京都台東区上野公園2-1,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12225,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,ec48a4181f5031bf79ae3bc09ca36b00b3996fcd372cdeefb0e4d68b238c6763,unmatched_source_record,; no exact canonical name + municipality match
LOC-2d97fcb97e6f25,,,13112,世田谷区,静嘉堂文庫美術館,静嘉堂文庫美術館,東京都世田谷区岡本2-23-1,東京都世田谷区岡本2-23-1,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12214,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,c73565c7069771358d7fd70be31401eb9c0e19d11b037416c65aefe9a5586224,unmatched_source_record,; no exact canonical name + municipality match
LOC-d7c91cf63d137d,,,13113,渋谷区,財団法人近代美術振興協会 太田記念美術館,近代美術振興協会太田記念美術館,東京都渋谷区神宮前１－１０－１０,東京都渋谷区神宮前１-１０-１０,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12170,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,b867d8fb0706d32fd76f86124a16c3ec25bc172a8fcd210b0c1aa9694124520b,unmatched_source_record,; no exact canonical name + municipality match
LOC-203b18f26589d9,,,13101,千代田区,国立劇場,国立劇場,東京都千代田区隼町４－１,東京都千代田区隼町４-１,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/13796,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,4c5b492c230fcd22aa1b78e9fdddcc133ff45de9a336fc513891cb462cd72513,unmatched_source_record,; no exact canonical name + municipality match
LOC-2033d80eea8158,,,13112,世田谷区,世田谷文学館,世田谷文学館,東京都世田谷区南烏山１－１０－１０,東京都世田谷区南烏山１-１０-１０,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12217,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,55c4a3ac69ee72f0a97dedea824a019a1f0c04d423287905d48b703ba1996cf6,unmatched_source_record,; no exact canonical name + municipality match
LOC-938bb0e06ee69d,,,13101,千代田区,国（文化庁 美術工芸品）,国(文化庁美術工芸品),東京都千代田区霞が関3-2-2,東京都千代田区霞が関3-2-2,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/133529,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,1f9febb0a1a4bbc798731fd7b3a0b3af9d99eba5b15250789fc5a1edb26f3299,unmatched_source_record,; no exact canonical name + municipality match
LOC-a391e339d44f7e,,,13203,武蔵野市,武蔵野市立吉祥寺美術館,武蔵野市立吉祥寺美術館,東京都武蔵野市吉祥寺本町1‐8‐16 ＦＦビル7階,東京都武蔵野市吉祥寺本町1‐8‐16ＦＦビル7階,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12297,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,52c80b41f5aedf5f250b623c27776bf987ca087792e160435a6d48d456bb0336,unmatched_source_record,; no exact canonical name + municipality match
LOC-9b1701c5837640,,,13104,新宿区,新宿歴史博物館,新宿歴史博物館,東京都新宿区三栄町22番地,東京都新宿区三栄町22番地,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12209,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,727a3282f564d3d2b461dd96d1ee19616cf86ca6114abe72529979f36af56e4e,unmatched_source_record,; no exact canonical name + municipality match
LOC-53132905f0b54d,,,13224,多摩市,東京都埋蔵文化財センター,東京都埋蔵文化財センター,東京都多摩市落合1-14-2,東京都多摩市落合1-14-2,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12255,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,3e672e80cfb5a33e51f5b7bc3511f3ef78efb67a766106e1b3f5d398e40b17e2,unmatched_source_record,; no exact canonical name + municipality match
LOC-ff0f05f6898356,,,13109,品川区,品川区立品川歴史館,品川区立品川歴史館,東京都品川区大井６－１１－１,東京都品川区大井６-１１-１,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12203,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,727fa7833395a483232bce3bc9b919d48be550b8c68d054cc6bf3e5e193adf8a,unmatched_source_record,; no exact canonical name + municipality match
LOC-05824f3ca65cd3,,,13114,中野区,山﨑記念 中野区立歴史民俗資料館,山﨑記念中野区立歴史民俗資料館,東京都中野区江古田四丁目３番４号,東京都中野区江古田四丁目３番４号,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12305,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,90a9ef47e31d90b013ece852f13a4420768d884ea9fc2422be49fd3ff1f669d7,unmatched_source_record,; no exact canonical name + municipality match
LOC-0f6df0caf2df20,,,13101,千代田区,国（文化庁 工芸技術資料）,国(文化庁工芸技術資料),東京都千代田区霞が関3-2-2 文部科学省情報ひろば （旧文部省庁舎 ３Ｆ展示室）,東京都千代田区霞が関3-2-2文部科学省情報ひろば（旧文部省庁舎３Ｆ展示室）,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/137832,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,71050a6a8928dceb33768917e2f54a1174ae92aeeeb800925f884c7e0cdcdfcd,unmatched_source_record,; no exact canonical name + municipality match
LOC-3a2b5d950661c9,,,13214,国分寺市,東京都公文書館,東京都公文書館,東京都国分寺市泉町２－２－２１,東京都国分寺市泉町２-２-２１,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12249,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,313ec09d23eb22a5d829b22355f54e043e19c21b257bc7100fa3a845388c4ade,unmatched_source_record,; no exact canonical name + municipality match
LOC-ed0f8a91b1fa2c,,,13101,千代田区,国立劇場 伝統芸能情報館,国立劇場伝統芸能情報館,東京都千代田区隼町４－１,東京都千代田区隼町４-１,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/186,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,dba0c1bd9699792c8415679ea19b60c49b839b50372a70d12b18015b3151345f,unmatched_source_record,; no exact canonical name + municipality match
LOC-90160615056a7d,,,13106,台東区,台東区立朝倉彫塑館,台東区立朝倉彫塑館,東京都台東区谷中7-18-10,東京都台東区谷中7-18-10,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12223,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,b9ae6bba43c284f370ce9a730509ae53de5cd2f6622fa50d25ecfd124518f2bf,unmatched_source_record,; no exact canonical name + municipality match
LOC-9643e4119874e0,,,13117,北区,独立行政法人国立印刷局 お札と切手の博物館,国立印刷局お札と切手の博物館,東京都北区王子１－６－１,東京都北区王子１-６-１,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12196,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,9e126144907665743754773d5835f14d69f19a1a5458be042b29f95b61457eaf,unmatched_source_record,; no exact canonical name + municipality match
LOC-58009573fc2785,,,13102,中央区,日本銀行金融研究所 貨幣博物館,日本銀行金融研究所貨幣博物館,東京都中央区日本橋本石町1-3-1,東京都中央区日本橋本石町1-3-1,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/13795,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,06c8be5956d8f99ad73afc938855979b4f0cf849d2824271525f38d2a403367a,unmatched_source_record,; no exact canonical name + municipality match
LOC-763a8f7de08cfe,,,13107,墨田区,東京都江戸東京博物館,東京都江戸東京博物館,東京都墨田区横網1-4-1,東京都墨田区横網1-4-1,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12247,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,5a08f8ab84b9b79ee6c0fbff2d98b1605f7c37f339ff09b6430ec1e6fad47ce0,unmatched_source_record,; no exact canonical name + municipality match
LOC-98c0757f3119a1,,,13209,町田市,町田市考古資料室,町田市考古資料室,東京都町田市下小山田町4016,東京都町田市下小山田町4016,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/952928,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,1d398ead128b50b23aa53cefa22a8dd0526e0dea20f9f1c9c6a832f277c7a4f9,unmatched_source_record,; no exact canonical name + municipality match
LOC-e8eaa180b6e8b2,,,13116,豊島区,豊島区立 熊谷守一美術館,豊島区立熊谷守一美術館,東京都豊島区千早2-27-6,東京都豊島区千早2-27-6,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/952930,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,60671d5b08401bbe9ca8d3ebcf2905aa3183f1ada6f2f1bceec281169d120009,unmatched_source_record,; no exact canonical name + municipality match
LOC-721e07db643adb,,,13116,豊島区,豊島区立雑司が谷旧宣教師館,豊島区立雑司が谷旧宣教師館,東京都豊島区雑司が谷1-25-5,東京都豊島区雑司が谷1-25-5,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/952931,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,f50ad2c7638dff76ea7388062700e83bc0b8edd17b84142d4defeb5c6ffd3d10,unmatched_source_record,; no exact canonical name + municipality match
LOC-5cf31221ff109b,,,13116,豊島区,豊島区立鈴木信太郎記念館,豊島区立鈴木信太郎記念館,東京都豊島区東池袋5-52-3,東京都豊島区東池袋5-52-3,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/952932,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,8e2d98cdb3c2b9e8142fa581c4aca81053ea0f40d0a0b65fd4bef49aabf8f260,unmatched_source_record,; no exact canonical name + municipality match
LOC-9c4deec8271b35,,,13209,町田市,町田市立自由民権資料館,町田市立自由民権資料館,東京都町田市野津田町８９７番地,東京都町田市野津田町８９７番地,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12291,agency_cultural_portal,structured_detail_page,,80,2026-09-06T16:34:45+00:00,8426c430cc67ada6e40feb2c572f2ed59ebbd6a3c278c78238be6274d6602e4a,unmatched_source_record,; no exact canonical name + municipality match
LOC-649010b36d705d,MUS-005aa6852919,昭和女子大学光葉博物館,13112,世田谷区,昭和女子大学光葉博物館,昭和女子大学光葉博物館,東京都世田谷区太子堂1-7-57 7号館1階,東京都世田谷区太子堂1-7-577号館1階,154-8533,,,verified_override,https://museum.swu.ac.jp/about/facilities.html,facility_official,verified_override,manual_exact_facility,120,2026-09-06T16:34:45+00:00,,accepted,公式施設案内で所在地を確認
LOC-f577fa52ad2b34,MUS-005aa6852919,昭和女子大学光葉博物館,13112,世田谷区,昭和女子大学光葉博物館,昭和女子大学光葉博物館,東京都世田谷区太子堂1-7-57,東京都世田谷区太子堂1-7-57,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12208,agency_cultural_portal,structured_detail_page,exact_name_municipality,80,2026-09-06T16:34:45+00:00,cbbd5111839c954e8a8b0c610e35e3871eb3417a4248ddb186e8057ef3ab470e,matched_candidate,
LOC-0d53f522a046fc,MUS-014a7d8b2bb6,中近東文化センター付属博物館,13204,三鷹市,中近東文化センター付属博物館,中近東文化センター付属博物館,東京都三鷹市大沢3-10-31,東京都三鷹市大沢3-10-31,181-0015,,,facility_official_page,https://www.meccj.or.jp/,facility_or_public_official,html_text,canonical_official_url,100,2026-09-06T16:34:45+00:00,f577a79ea9918e2d659b67443ff1d1777dd31c6e5e04c2f75805bdd5fde77351,accepted,address_score=90
LOC-26d031e2383883,MUS-02dd7815a999,葛飾区郷土と天文の博物館,13122,葛飾区,葛飾区郷土と天文の博物館,葛飾区郷土と天文の博物館,東京都葛飾区白鳥3-25-1,東京都葛飾区白鳥3-25-1,,,,existing_manifest,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
LOC-eead2ede17bd17,MUS-02dd7815a999,葛飾区郷土と天文の博物館,13122,葛飾区,葛飾区郷土と天文の博物館,葛飾区郷土と天文の博物館,東京都葛飾区白鳥3-25-1,東京都葛飾区白鳥3-25-1,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12180,agency_cultural_portal,structured_detail_page,exact_name_municipality,80,2026-09-06T16:34:45+00:00,f565c141c8927220ba260d1f80ca320b1beb2af216ad5d394d7dde6d4bacd342,matched_candidate,
LOC-1f739fa842850a,MUS-02dd899629c7,印刷博物館,13105,文京区,印刷博物館,印刷博物館,東京都文京区水道1丁目3番3号 トッパン小石川ビル,東京都文京区水道1丁目3番3号トッパン小石川ビル,,,,existing_manifest,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
LOC-aac26e2f14bbcf,MUS-030af495c004,板橋区立教育科学館,13119,板橋区,板橋区立教育科学館,板橋区立教育科学館,東京都板橋区常盤台4-14-1,東京都板橋区常盤台4-14-1,,,,existing_manifest,https://jcsm.jp/list/membership/,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
LOC-e7c29499df2ef9,MUS-03d2e8f2282b,共立女子大学博物館,13101,千代田区,共立女子大学博物館,共立女子大学博物館,東京都千代田区一ツ橋2-6-1 共立女子学園2号館B1F,東京都千代田区一ツ橋2-6-1共立女子学園2号館B1F,101-0003,,,verified_override,https://www.kyoritsu-wu.ac.jp/muse/access/,facility_official,verified_override,manual_exact_facility,120,2026-09-06T16:34:45+00:00,,accepted,公式アクセスページで所在地を確認
LOC-8a431ba3625d85,MUS-04eeeab89ba2,増上寺宝物展示室,13103,港区,増上寺宝物展示室,増上寺宝物展示室,東京都港区芝公園4-7-35 大殿地下1階,東京都港区芝公園4-7-35大殿地下1階,,,,existing_manifest,https://www.minato-rekishi.com/musenet/museumlist.html,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
LOC-b2019299d4a212,MUS-05085b9ba4aa,靖國神社遊就館,13101,千代田区,靖國神社遊就館,靖國神社遊就館,東京都千代田区九段北3-1-1,東京都千代田区九段北3-1-1,102-8246,,,verified_override,https://museum.net.city.chiyoda.lg.jp/list/shisetsu/20.php,chiyoda_city_official_museum_network,verified_override,manual_exact_facility,120,2026-09-06T16:34:45+00:00,,accepted,千代田区公式参加館ページで所在地を確認
LOC-18ef8eea19cb6e,MUS-0689fa503e02,くにたち郷土文化館,13215,国立市,くにたち郷土文化館,くにたち郷土文化館,東京都国立市谷保6231,東京都国立市谷保6231,186-0011,,,verified_override,https://kuzaidan.or.jp/province/access/,public_facility_official,verified_override,manual_exact_facility,120,2026-09-06T16:34:45+00:00,,accepted,公式アクセスページで所在地を確認
LOC-a7d24c0cd796b0,MUS-06aa0bb52c59,刀剣博物館,13107,墨田区,刀剣博物館,刀剣博物館,東京都墨田区横網1-12-9,東京都墨田区横網1-12-9,130-0015,,,facility_official_page,https://www.touken.or.jp/museum/,facility_or_public_official,html_text,canonical_official_url,100,2026-09-06T16:34:45+00:00,5cc76b74f8d34d3538dbbb052cf630e8ebd2af4976d9b6801ad6c154206bc71c,accepted,address_score=115
LOC-d7d7d9f718c3ab,MUS-0815610ea799,すみだ水族館,13107,墨田区,すみだ水族館,すみだ水族館,東京都墨田区押上1-1-2東京スカイツリータウン・ソラマチ5F,東京都墨田区押上1-1-2東京スカイツリータウン・ソラマチ5F,,,,existing_manifest,https://www.jaza.jp/about-jaza/structure/list-aquarium,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
LOC-bf98071fbef506,MUS-0babb4eddce6,地下鉄博物館,13123,江戸川区,地下鉄博物館,地下鉄博物館,東京都江戸川区東葛西6-3-1,東京都江戸川区東葛西6-3-1,,,,existing_manifest,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
LOC-91eb001635c658,MUS-0bfe732291e4,多摩六都科学館,13229,西東京市,多摩六都科学館,多摩六都科学館,東京都西東京市芝久保町5-10-64,東京都西東京市芝久保町5-10-64,,,,existing_manifest,https://museum.bunka.go.jp/guide/,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
LOC-cf794086b518f8,MUS-0c8c7acccb98,早稲田大学會津八一記念博物館,13104,新宿区,早稲田大学會津八一記念博物館,早稲田大学會津八一記念博物館,東京都新宿区西早稲田1-6-1 早稲田キャンパス２号館,東京都新宿区西早稲田1-6-1早稲田キャンパス２号館,,,,facility_official_page,https://www.waseda.jp/culture/aizu-museum/access/,facility_or_public_official,html_text,canonical_official_url,100,2026-09-06T16:34:45+00:00,95a4917cbe439fe893b4864a156598c4391dc208270657219c98d1ea155f64e0,accepted,address_score=115
LOC-864c4d0b0225f1,MUS-0d0097806be0,郵政博物館,13107,墨田区,郵政博物館,郵政博物館,東京都墨田区押上1-1-2東京スカイツリータウン・ソラマチ9F,東京都墨田区押上1-1-2東京スカイツリータウン・ソラマチ9F,,,,existing_manifest,https://jcsm.jp/list/membership/,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
LOC-cca39e93857527,MUS-0d0261f2e923,横山大観記念館,13106,台東区,横山大観記念館,横山大観記念館,東京都台東区池之端1-4-24,東京都台東区池之端1-4-24,110-0008,,,facility_official_page,https://taikan.tokyo/,facility_or_public_official,html_text,canonical_official_url,100,2026-09-06T16:34:45+00:00,52143473eb6e1935ca7d394abefdb4d85af45ceb64c3a5d0039795b4b2d40757,accepted,address_score=115
LOC-3c9342e7dbece1,MUS-0d0261f2e923,横山大観記念館,13106,台東区,横山大観記念館,横山大観記念館,東京都台東区池之端１－４－２４,東京都台東区池之端１-４-２４,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12307,agency_cultural_portal,structured_detail_page,exact_name_municipality,80,2026-09-06T16:34:45+00:00,e124a46fc828e4c5e8b3f8ed705bf483f769a6dea058f4f506791c059f40f06b,matched_candidate,
LOC-5d747757e84dbf,MUS-0e6f5377989f,日本大学芸術学部芸術資料館,13120,練馬区,日本大学芸術学部芸術資料館,日本大学芸術学部芸術資料館,東京都練馬区旭丘2-42-1,東京都練馬区旭丘2-42-1,176-8525,,,facility_official_page,https://www.art.nihon-u.ac.jp/facility/attached/archives/,facility_or_public_official,html_text,canonical_official_url,100,2026-09-06T16:34:45+00:00,287734e5afa5b38d0b656e7b3ea56fe2633b6c9444cde60f4a81aa93490cd174,accepted,address_score=100
LOC-4d8007517ae734,MUS-0e6f5377989f,日本大学芸術学部芸術資料館,13120,練馬区,日本大学芸術学部芸術資料館,日本大学芸術学部芸術資料館,東京都練馬区旭丘２丁目４２番１号,東京都練馬区旭丘２丁目４２番１号,,,,cultural_heritage_online,https://online.bunka.go.jp/museums/detail/12267,agency_cultural_portal,structured_detail_page,exact_name_municipality,80,2026-09-06T16:34:45+00:00,dc3dfbd3c283945c590c1cdc8404e2ec2cdcca0db26f36e37f54efb10be1b1e8,matched_candidate,
LOC-9242979e7efe8a,MUS-10239dac0fd8,弥生美術館,13105,文京区,弥生美術館,弥生美術館,東京都文京区弥生2丁目4番3号,東京都文京区弥生2丁目4番3号,,,,existing_manifest,https://www.city.bunkyo.lg.jp/b014/p004189.html,existing_manifest_source,existing_manifest,canonical_source_record,110,2026-09-06T16:34:45+00:00,,accepted,
