source_key,category,source_dataset_id,dataset_title,provider,layer_pattern,license,license_url,redistribution,commercial_use,modification,redistribution_status,attribution,usage_note,license_checked_at,published_in_release
plateau,base_3d,PLATEAU,Project PLATEAU 3D都市モデル,国土交通省／各地方公共団体,heritage_buildings_footprint;heritage_buildings_footprint_riskwide;heritage_buildings_point;heritage_disaster_risk;plateau_disaster_risk,PDL1.0 / CC BY 4.0 / ODC BY / ODbL,https://www.mlit.go.jp/plateau/site-policy/,yes,yes,yes,confirmed,Project PLATEAU 3D都市モデル（国土交通省・各地方公共団体）を加工して作成,出典および編集・加工した旨を明示する。,2026-09-04,True
region_risk,hazard,t000008d0000000012,地震に関する地域危険度測定調査地域危険度一覧,東京都都市整備局,hazard_region_risk,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都都市整備局「地震に関する地域危険度測定調査地域危険度一覧」を加工して作成,東京都オープンデータ利用規約に従い、出典および加工した旨を明示する。,2026-09-04,True
fire_spread,hazard,t000017d0000000005,地震時における地域別延焼危険度測定,東京消防庁,hazard_fire_spread_mesh250;hazard_fire_spread_town,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京消防庁「地震時における地域別延焼危険度測定」を加工して作成,東京都オープンデータ利用規約に従い、出典および加工した旨を明示する。,2026-09-04,True
seismic,hazard,t000003d2000000390,震度分布（令和4年度首都直下地震等による東京の被害想定結果）,東京都総務局,hazard_seismic_50m_南海トラフ巨大地震;hazard_seismic_50m_多摩東部直下地震;hazard_seismic_50m_多摩西部直下地震;hazard_seismic_50m_大正関東地震;hazard_seismic_50m_立川断層帯地震;hazard_seismic_50m_都心南部直下地震;hazard_seismic_50m_都心東部直下地震;hazard_seismic_50m_都心西部直下地震,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,50mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04,False
liquefaction,hazard,t000003d2000000390,液状化（令和4年度首都直下地震等による東京の被害想定結果）,東京都総務局,hazard_liquefaction_250m_南海トラフ巨大地震;hazard_liquefaction_250m_多摩東部直下地震;hazard_liquefaction_250m_大正関東地震;hazard_liquefaction_250m_立川断層帯地震;hazard_liquefaction_250m_都心南部直下地震,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「震度分布・液状化（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,250mメッシュコードからポリゴンを生成。地震シナリオ別レイヤとして保持する。,2026-09-04,False
inundation,hazard,t000014d0000000029,浸水予想区域図,東京都建設局,hazard_inundation_中川_綾瀬川圏域;hazard_inundation_城南地区河川流域;hazard_inundation_境川流域;hazard_inundation_残堀川流域;hazard_inundation_江東内部河川流域;hazard_inundation_浅川圏域_大栗川及び三沢川流域;hazard_inundation_石神井川及び白子川流域;hazard_inundation_神田川流域;hazard_inundation_秋川及び平井川流域;hazard_inundation_野川_仙川_入間川_谷沢川及び丸子川流域;hazard_inundation_隅田川及び新河岸川流域;hazard_inundation_霞川及び多摩川上流圏域;hazard_inundation_鶴見川流域;hazard_inundation_黒目川_落合川_柳瀬川_空堀川及び奈良橋川流域,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都建設局「浸水予想区域図」を加工して作成,公開CSV座標をGIS地物化。流域・区域情報は原データ属性として保持する。,2026-09-04,False
storm_surge,hazard,t000015d1700000007,高潮浸水想定区域図,東京都港湾局,hazard_storm_surge_depth;hazard_storm_surge_duration;hazard_storm_surge_house_collapse,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都港湾局「高潮浸水想定区域図」を加工して作成,浸水深・浸水継続時間・家屋倒壊等氾濫想定区域を別レイヤとして保持する。,2026-09-04,False
tsunami,hazard,t000003d2000000392,津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）,東京都総務局,hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_三宅島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_三宅島_大正関東地震;hazard_tsunami_arrival_八丈島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_八丈島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_八丈島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_八丈島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_八丈島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_八丈島_大正関東地震;hazard_tsunami_arrival_利島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_利島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_利島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_利島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_利島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_利島_大正関東地震;hazard_tsunami_arrival_区部_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_区部_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_区部_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_区部_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_区部_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_区部_南海トラフ巨大地震_全5ケース最大値;hazard_tsunami_arrival_区部_大正関東地震;hazard_tsunami_arrival_大島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_大島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_大島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_大島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_大島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_大島_大正関東地震;hazard_tsunami_arrival_御蔵島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_御蔵島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_御蔵島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_御蔵島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_御蔵島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_御蔵島_大正関東地震;hazard_tsunami_arrival_新島_式根島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_新島_式根島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_新島_式根島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_新島_式根島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_新島_式根島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_新島_式根島_大正関東地震;hazard_tsunami_arrival_母島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_母島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_母島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_母島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_母島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_母島_大正関東地震;hazard_tsunami_arrival_父島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_父島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_父島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_父島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_父島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_父島_大正関東地震;hazard_tsunami_arrival_神津島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_神津島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_神津島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_神津島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_神津島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_神津島_大正関東地震;hazard_tsunami_arrival_青ヶ島_南海トラフ巨大地震_ケース1;hazard_tsunami_arrival_青ヶ島_南海トラフ巨大地震_ケース2;hazard_tsunami_arrival_青ヶ島_南海トラフ巨大地震_ケース5;hazard_tsunami_arrival_青ヶ島_南海トラフ巨大地震_ケース6;hazard_tsunami_arrival_青ヶ島_南海トラフ巨大地震_ケース8;hazard_tsunami_arrival_青ヶ島_大正関東地震;hazard_tsunami_depth_三宅島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_三宅島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_三宅島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_三宅島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_三宅島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_三宅島_大正関東地震;hazard_tsunami_depth_八丈島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_八丈島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_八丈島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_八丈島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_八丈島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_八丈島_大正関東地震;hazard_tsunami_depth_利島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_利島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_利島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_利島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_利島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_利島_大正関東地震;hazard_tsunami_depth_区部_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_区部_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_区部_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_区部_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_区部_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_区部_南海トラフ巨大地震_全5ケース最大値;hazard_tsunami_depth_区部_大正関東地震;hazard_tsunami_depth_大島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_大島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_大島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_大島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_大島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_大島_大正関東地震;hazard_tsunami_depth_御蔵島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_御蔵島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_御蔵島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_御蔵島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_御蔵島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_御蔵島_大正関東地震;hazard_tsunami_depth_新島_式根島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_新島_式根島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_新島_式根島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_新島_式根島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_新島_式根島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_新島_式根島_大正関東地震;hazard_tsunami_depth_母島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_母島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_母島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_母島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_母島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_母島_大正関東地震;hazard_tsunami_depth_父島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_父島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_父島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_父島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_父島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_父島_大正関東地震;hazard_tsunami_depth_神津島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_神津島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_神津島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_神津島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_神津島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_神津島_大正関東地震;hazard_tsunami_depth_青ヶ島_南海トラフ巨大地震_ケース1;hazard_tsunami_depth_青ヶ島_南海トラフ巨大地震_ケース2;hazard_tsunami_depth_青ヶ島_南海トラフ巨大地震_ケース5;hazard_tsunami_depth_青ヶ島_南海トラフ巨大地震_ケース6;hazard_tsunami_depth_青ヶ島_南海トラフ巨大地震_ケース8;hazard_tsunami_depth_青ヶ島_大正関東地震;hazard_tsunami_height_三宅島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_三宅島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_三宅島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_三宅島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_三宅島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_三宅島_大正関東地震;hazard_tsunami_height_八丈島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_八丈島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_八丈島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_八丈島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_八丈島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_八丈島_大正関東地震;hazard_tsunami_height_利島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_利島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_利島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_利島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_利島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_利島_大正関東地震;hazard_tsunami_height_区部_南海トラフ巨大地震_ケース1;hazard_tsunami_height_区部_南海トラフ巨大地震_ケース2;hazard_tsunami_height_区部_南海トラフ巨大地震_ケース5;hazard_tsunami_height_区部_南海トラフ巨大地震_ケース6;hazard_tsunami_height_区部_南海トラフ巨大地震_ケース8;hazard_tsunami_height_区部_南海トラフ巨大地震_全5ケース最大値;hazard_tsunami_height_区部_大正関東地震;hazard_tsunami_height_大島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_大島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_大島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_大島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_大島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_大島_大正関東地震;hazard_tsunami_height_御蔵島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_御蔵島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_御蔵島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_御蔵島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_御蔵島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_御蔵島_大正関東地震;hazard_tsunami_height_新島_式根島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_新島_式根島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_新島_式根島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_新島_式根島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_新島_式根島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_新島_式根島_大正関東地震;hazard_tsunami_height_母島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_母島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_母島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_母島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_母島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_母島_大正関東地震;hazard_tsunami_height_父島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_父島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_父島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_父島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_父島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_父島_大正関東地震;hazard_tsunami_height_神津島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_神津島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_神津島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_神津島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_神津島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_神津島_大正関東地震;hazard_tsunami_height_青ヶ島_南海トラフ巨大地震_ケース1;hazard_tsunami_height_青ヶ島_南海トラフ巨大地震_ケース2;hazard_tsunami_height_青ヶ島_南海トラフ巨大地震_ケース5;hazard_tsunami_height_青ヶ島_南海トラフ巨大地震_ケース6;hazard_tsunami_height_青ヶ島_南海トラフ巨大地震_ケース8;hazard_tsunami_height_青ヶ島_大正関東地震,CC BY 4.0,https://portal.data.metro.tokyo.lg.jp/terms/,yes,yes,yes,confirmed,東京都総務局「津波浸水分布（令和4年度首都直下地震等による東京の被害想定結果）」を加工して作成,公開座標をGIS地物化。地域・指標・想定シナリオ別レイヤとして保持する。,2026-09-04,False
ksj_a33,hazard,A33-25_13,国土数値情報 土砂災害警戒区域 2025年度 東京都,国土交通省,hazard_sediment_warning_a33_polygon,CC BY 4.0（一部制限）,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A33-2025.html,yes,yes,yes,confirmed_for_tokyo,国土数値情報「土砂災害警戒区域」（国土交通省）を加工して作成,東京都分は商用利用・再配信可。概略位置を示す参考データであり、法的境界等の根拠には使用しない。,2026-09-04,True
ksj_a46,hazard,A46-21_13,国土数値情報 地すべり防止区域 2021年度 東京都,国土交通省,hazard_landslide_prevention_a46_polygon,CC BY 4.0（一部制限）,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A46-2021.html,pending,pending,subject_to_additional_terms,pending_tokyo_additional_terms_check,国土数値情報「地すべり防止区域」（国土交通省）を加工して作成,都道府県別追加利用条件の確認完了までは公開再配布を保留する。,2026-09-04,False
