record_id,risk_type,risk_type_ja,depth_m,hazard_source,scenario,risk_class,risk_basis
131024000000.0,river_flooding,洪水浸水想定区域,0.962,神田川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131024000000.0,river_flooding,洪水浸水想定区域,0.962,荒川水系神田川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131024000000.0,river_flooding,洪水浸水想定区域,0.3,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131156000000.0,river_flooding,洪水浸水想定区域,0.004,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
40,river_flooding,洪水浸水想定区域,0.01,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
41,river_flooding,洪水浸水想定区域,0.01,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:150,river_flooding,洪水浸水想定区域,0.085,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:46,river_flooding,洪水浸水想定区域,0.016,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
141,river_flooding,洪水浸水想定区域,0.01,浅川圏域・大栗川・三沢川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_001:112,river_flooding,洪水浸水想定区域,1.627,神田川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
official_export_001:112,river_flooding,洪水浸水想定区域,1.627,荒川水系神田川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
official_export_001:112,high_tide,高潮浸水想定,0.03,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m未満,PLATEAU building risk
13104:225,river_flooding,洪水浸水想定区域,0.195,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:67,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.4,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,3.05,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
131024000000.0,river_flooding,洪水浸水想定区域,0.041,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:60,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:63,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:64,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:65,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:68,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
139,river_flooding,洪水浸水想定区域,0.01,黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131024000000.0,river_flooding,洪水浸水想定区域,0.07,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131024000000.0,high_tide,高潮浸水想定,0.18,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m未満,PLATEAU building risk
official_export_002:473,river_flooding,洪水浸水想定区域,0.017,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.56,江東内部河川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,3.01,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
official_export_002:80,river_flooding,洪水浸水想定区域,0.019,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
13104:199,river_flooding,洪水浸水想定区域,0.159,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:47,river_flooding,洪水浸水想定区域,0.009,野川・仙川・入間川・谷沢川・丸子川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.03,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.02,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
official_export_002:43,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:108,river_flooding,洪水浸水想定区域,0.019,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.23,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,3.09,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
13104:185,river_flooding,洪水浸水想定区域,0.013,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.14,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.73,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.37,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,3.26,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
132000000000.0,river_flooding,洪水浸水想定区域,0.01,黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:182,river_flooding,洪水浸水想定区域,0.028,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
132152100035,river_flooding,洪水浸水想定区域,5.92,多摩川水系多摩川・浅川・大栗川,L2（想定最大規模）,5m以上10m未満,PLATEAU building risk
131067100029,river_flooding,洪水浸水想定区域,0.495,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131067100029,river_flooding,洪水浸水想定区域,0.495,荒川水系神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131067100029,river_flooding,洪水浸水想定区域,0.78,隅田川・新河岸川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131067100029,high_tide,高潮浸水想定,1.26,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
1.32209E+11,river_flooding,洪水浸水想定区域,0.14,黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.13,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.27,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.39,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
official_export_001:131,river_flooding,洪水浸水想定区域,0.063,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
1000000001,river_flooding,洪水浸水想定区域,0.034,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:432,river_flooding,洪水浸水想定区域,0.32,多摩川水系多摩川・浅川・大栗川,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:276,river_flooding,洪水浸水想定区域,0.66,隅田川・新河岸川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
official_export_002:276,high_tide,高潮浸水想定,3.58,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
131067100003,river_flooding,洪水浸水想定区域,0.012,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
17,river_flooding,洪水浸水想定区域,0.075,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
1000000002,river_flooding,洪水浸水想定区域,0.075,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
132000000000.0,river_flooding,洪水浸水想定区域,2.09,荒川水系黒目川・落合川・柳瀬川・空堀川・奈良橋川,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
132000000000.0,river_flooding,洪水浸水想定区域,2.09,黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
official_export_002:415,river_flooding,洪水浸水想定区域,0.45,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:415,high_tide,高潮浸水想定,0.09,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m未満,PLATEAU building risk
131156000000.0,river_flooding,洪水浸水想定区域,0.779,神田川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131024000000.0,river_flooding,洪水浸水想定区域,0.837,神田川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131024000000.0,river_flooding,洪水浸水想定区域,0.837,荒川水系神田川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131024000000.0,high_tide,高潮浸水想定,0.74,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
9,river_flooding,洪水浸水想定区域,0.076,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
2000000004,river_flooding,洪水浸水想定区域,0.076,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:28,river_flooding,洪水浸水想定区域,0.01,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:28,high_tide,高潮浸水想定,0.02,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m未満,PLATEAU building risk
official_export_002:271,river_flooding,洪水浸水想定区域,0.04,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:271,high_tide,高潮浸水想定,0.13,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m未満,PLATEAU building risk
131,river_flooding,洪水浸水想定区域,0.01,霞川・多摩川上流圏域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:107,river_flooding,洪水浸水想定区域,0.03,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.1,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.09,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
131075100149,river_flooding,洪水浸水想定区域,0.02,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131075100149,high_tide,高潮浸水想定,3.53,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
official_export_001:90,river_flooding,洪水浸水想定区域,0.08,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_001:90,high_tide,高潮浸水想定,0.18,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m未満,PLATEAU building risk
official_export_002:483,river_flooding,洪水浸水想定区域,0.04,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.34,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.17,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.1,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.22,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
13104:209,river_flooding,洪水浸水想定区域,0.063,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
46,river_flooding,洪水浸水想定区域,0.025,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
89,river_flooding,洪水浸水想定区域,0.025,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_001:65,river_flooding,洪水浸水想定区域,0.03,浅川圏域・大栗川・三沢川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.04,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,0.74,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
13104:5,river_flooding,洪水浸水想定区域,0.161,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
13104:6,river_flooding,洪水浸水想定区域,0.161,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
13104:88,river_flooding,洪水浸水想定区域,0.161,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
13104:89,river_flooding,洪水浸水想定区域,0.161,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
13104:90,river_flooding,洪水浸水想定区域,0.161,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.02,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,1.62,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
13104:201,river_flooding,洪水浸水想定区域,0.02,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131067100066,river_flooding,洪水浸水想定区域,0.061,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
132080100053,river_flooding,洪水浸水想定区域,0.05,野川・仙川・入間川・谷沢川・丸子川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:428,river_flooding,洪水浸水想定区域,0.074,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.83,江東内部河川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,3.04,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
131075100116,river_flooding,洪水浸水想定区域,0.51,江東内部河川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131075100116,high_tide,高潮浸水想定,4.08,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
52,river_flooding,洪水浸水想定区域,0.01,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
52,landslide,土砂災害警戒区域,,急傾斜地の崩落,,土砂災害警戒区域（指定済）,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.06,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,5.25,東京都高潮浸水想定区域図（令和6年12月19日）,,5m以上10m未満,PLATEAU building risk
official_export_001:103,river_flooding,洪水浸水想定区域,0.149,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_001:103,river_flooding,洪水浸水想定区域,0.149,荒川水系神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_001:103,river_flooding,洪水浸水想定区域,0.1,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_001:103,high_tide,高潮浸水想定,0.02,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m未満,PLATEAU building risk
official_export_002:305,high_tide,高潮浸水想定,0.32,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m未満,PLATEAU building risk
official_export_002:235,river_flooding,洪水浸水想定区域,0.026,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131024000000.0,river_flooding,洪水浸水想定区域,0.031,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_001:139,river_flooding,洪水浸水想定区域,0.031,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:81,river_flooding,洪水浸水想定区域,0.26,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:81,river_flooding,洪水浸水想定区域,0.26,荒川水系神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:81,high_tide,高潮浸水想定,0.8,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
official_export_002:257,river_flooding,洪水浸水想定区域,0.019,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,5.48,東京都高潮浸水想定区域図（令和6年12月19日）,,5m以上10m未満,PLATEAU building risk
132080100059,river_flooding,洪水浸水想定区域,0.28,野川・仙川・入間川・谷沢川・丸子川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
13104:186,river_flooding,洪水浸水想定区域,0.203,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:74,river_flooding,洪水浸水想定区域,0.196,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:303,river_flooding,洪水浸水想定区域,0.183,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.04,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.87,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
132152100013,landslide,土砂災害警戒区域,,急傾斜地の崩落,,土砂災害特別警戒区域（指定済）,PLATEAU building risk
131156000000.0,river_flooding,洪水浸水想定区域,0.044,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
8,river_flooding,洪水浸水想定区域,0.032,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
133,river_flooding,洪水浸水想定区域,0.01,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
13104:165,river_flooding,洪水浸水想定区域,0.051,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.15,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,5.08,東京都高潮浸水想定区域図（令和6年12月19日）,,5m以上10m未満,PLATEAU building risk
131075100067,river_flooding,洪水浸水想定区域,0.46,隅田川・新河岸川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131075100067,high_tide,高潮浸水想定,3.84,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
53,river_flooding,洪水浸水想定区域,0.01,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
53,landslide,土砂災害警戒区域,,土石流,,土砂災害警戒区域（指定済）,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.64,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
1.32209E+11,river_flooding,洪水浸水想定区域,0.01,黒目川・落合川・柳瀬川・空堀川・奈良橋川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
1.32209E+11,landslide,土砂災害警戒区域,,急傾斜地の崩落,,土砂災害特別警戒区域（指定済）,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.01,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,0.84,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
210,river_flooding,洪水浸水想定区域,0.025,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.09,江東内部河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,3.92,東京都高潮浸水想定区域図（令和6年12月19日）,,3m以上5m未満,PLATEAU building risk
official_export_002:383,river_flooding,洪水浸水想定区域,0.011,神田川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
131083000000.0,river_flooding,洪水浸水想定区域,0.52,江東内部河川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
131083000000.0,high_tide,高潮浸水想定,2.42,東京都高潮浸水想定区域図（令和6年12月19日）,,0.5m以上3m未満,PLATEAU building risk
official_export_002:149,river_flooding,洪水浸水想定区域,0.375,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:151,river_flooding,洪水浸水想定区域,0.375,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_002:152,river_flooding,洪水浸水想定区域,0.375,城南地区河川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
official_export_001:102,river_flooding,洪水浸水想定区域,0.523,神田川流域,L2（想定最大規模）,0.5m以上3m未満,PLATEAU building risk
91,river_flooding,洪水浸水想定区域,0.01,秋川・平井川流域,L2（想定最大規模）,0.5m未満,PLATEAU building risk
91,landslide,土砂災害警戒区域,,急傾斜地の崩落,,土砂災害警戒区域（指定済）,PLATEAU building risk
