municipality_code,organization_type,organization,status,canonical_api_id,dataset_id,notes
13000,東京都,東京都教育庁,API確認,t000021d0000000017-8dc3f0c6f17b5a782f4264d4db055740-0,t000021d0000000017,東京都全域の都指定文化財。
13101,特別区,千代田区,CSVカタログあり・API未確認,,,自治体標準ODSの文化財一覧CSVを確認。東京都APIカタログの現行文化財一覧APIは今回未確認。
13102,特別区,中央区,API確認,t131024d0000000024-e02aafb45009bce6b1507206282702ec-0,t131024d0000000024,
13103,特別区,港区,CSVカタログあり・API未確認,,,港区文化財一覧／文化財総合目録のオープンデータを確認。東京都APIカタログの統合文化財一覧APIは今回未確認。
13104,特別区,新宿区,API確認,t131041d0000000006-430e104874e771a0e5c8554ff8daf62e-0,t131041d0000000006,
13105,特別区,文京区,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13106,特別区,台東区,API確認,t131067d0000000393-cd1b272259be6f8b8b01695658e87be1-0,t131067d0000000393,
13107,特別区,墨田区,API確認,t131075d0000000132-25887e82e8eff01e6c14c2b99a9283f8-0,t131075d0000000132,
13108,特別区,江東区,API確認,t131083d0000000015-1137c94d047ba0653a72c912f898f2eb-0,t131083d0000000015,旧API IDが併存するため、確認できた新しいリソースを採用。
13109,特別区,品川区,関連APIあり（非統合）,,,「埋蔵文化財包蔵地一覧」等の文化財関連APIは確認したが、指定・登録文化財の統合「文化財一覧」APIではない。
13110,特別区,目黒区,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13111,特別区,大田区,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13112,特別区,世田谷区,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13113,特別区,渋谷区,統合文化財一覧API未確認,,,過年度に文化財一覧オープンデータの掲載例はあるが、現行東京都APIカタログで統合APIを今回確認できず。
13114,特別区,中野区,API確認・現行API ID未特定,,t131148d0000000001,東京都APIカタログ上でAPI掲載を確認。ただし検索結果から現行リソースのハッシュ付きAPI IDを一意に確定できなかったため空欄。
13115,特別区,杉並区,API確認,t131156d0000000199-fbbe3e80e246a13a832f1fdaa5c0dd3f-0,t131156d0000000199,
13116,特別区,豊島区,API確認,t131164d0000000007-83def088cb55c24a0cae4251717412d7-0,t131164d0000000007,
13117,特別区,北区,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13118,特別区,荒川区,API確認,t131181d0000000010-ae6cbfc3db66807fac3889ab680508c6-0,t131181d0000000010,
13119,特別区,板橋区,API確認,t131199d0000000002-d7416203d34a222e725d9a61274347ef-0,t131199d0000000002,
13120,特別区,練馬区,API確認,t131202d0000000037-aa973167dadd41176d54b4d62c157d04-0,t131202d0000000037,
13121,特別区,足立区,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13122,特別区,葛飾区,API確認,t131229d0000000006-7bc47fa3a82de16761ba3cec986e27e4-0,t131229d0000000006,
13123,特別区,江戸川区,API確認,t131237d0000000255-e7f46a00e4d058e04aa8acc357c534ad-0,t131237d0000000255,
13201,市,八王子市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13202,市,立川市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13203,市,武蔵野市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13204,市,三鷹市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13205,市,青梅市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13206,市,府中市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13207,市,昭島市,統合文化財一覧API未確認,,,現行東京都オープンデータAPIカタログで、指定・登録文化財をまとめた「文化財一覧」APIを今回確認できず。
13208,市,調布市,API確認,t132080d3100001964-4ac5f47ee38d5c49163005c754d994ec-0,t132080d3100001964,旧API t132080d0000000062-b5a2ec5405a360e7722b8ea5db4f2b31-0 ではなく現行側を採用。
